Dataset,Model-Run,AUC,F1,TPR@FPR=0.01,Best Threshold
HK-News-ANP,HK-News-ANP-Aya101-1024-tokens,0.26279075729193563,0.6654627535062962,0.15332428765264586,-1.6555556058883667
HK-News-GNP-gpt4o-1024-tokens,HK-News-GNP-gpt4o-1024-tokens,0.8644134471963153,0.8034310216604447,0.5492577597840755,-0.983146071434021
HK-News-GP-gpt4o-1024-tokens,HK-News-GP-gpt4o-1024-tokens,0.7793722601947617,0.7239818999655726,0.20813765182186234,-1.0064516067504885
HK-essays-ANP,HK-essays-ANP-Aya101-1024-tokens,0.47860598784968533,0.6627592421177313,0.20952380952380953,-2.25
HK-essays-GNP-gpt4o-1024-tokens,HK-essays-GNP-gpt4o-1024-tokens,0.8237933313572756,0.7567901229608511,0.28900949796472186,-0.988950252532959
HK-essays-GP-gpt4o-1024-tokens,HK-essays-GP-gpt4o-1024-tokens,0.7533760210910417,0.7154761899837082,0.0814111261872456,-0.994413435459137
HK-blogs-GNP-gpt4o-1024-tokens,HK-blogs-GNP-gpt4o-1024-tokens,0.8864491647287798,0.8121575784200925,0.4578691141260974,-0.9769230484962464
HK-blogs-GP-gpt4o-1024-tokens,HK-blogs-GP-gpt4o-1024-tokens,0.9179345114865229,0.8430299167510794,0.42555732907688215,-0.976331353187561
