,AUC,AUC,AUC,F1,F1,F1,TPR@FPR=0.01,TPR@FPR=0.01,TPR@FPR=0.01
Mode,ANP,GNP,GP,ANP,GNP,GP,ANP,GNP,GP
DatasetID,,,,,,,,,
HK-News,0.26279075729193563,0.8644134471963153,0.7793722601947617,0.6654627535062962,0.8034310216604447,0.7239818999655726,0.15332428765264586,0.5492577597840755,0.20813765182186234
HK-blogs,,0.8864491647287798,0.9179345114865229,,0.8121575784200925,0.8430299167510794,,0.4578691141260974,0.42555732907688215
HK-essays,0.47860598784968533,0.8237933313572756,0.7533760210910417,0.6627592421177313,0.7567901229608511,0.7154761899837082,0.20952380952380953,0.28900949796472186,0.0814111261872456
