Dataset,Model-Run,AUC_yours,F1_yours,TPR@FPR=0.01_yours,Best Threshold,AUC_paper,F1_paper,TPR@FPR=0.01_paper,ΔAUC,ΔF1,ΔTPR@FPR=0.01
HK-News-ANP,HK-News-ANP-Aya101-1024-tokens,0.26279075729193563,0.6654627535062962,0.15332428765264586,-1.6555556058883667,0.9992,0.9821,0.978,-0.7364092427080644,-0.31663724649370373,-0.8246757123473542
HK-essays-ANP,HK-essays-ANP-Aya101-1024-tokens,0.47860598784968533,0.6627592421177313,0.20952380952380953,-2.25,0.9985,0.9813,0.965,-0.5198940121503147,-0.31854075788226865,-0.7554761904761904
